date,open,high,low,volume,rsi_14,macd,cci,adx,stoch_slowk,stoch_slowd,willr,momentum,roc,ema8,ema20,ema200,Sto_rsi_fastk,Sto_rsi_fastd,adosc,obv,BB_upper,BB_middle,BB_lower,adj_close
2013-10-23,29280,29280,28720,8598450,58.72206507,522.7465571,17.08542714,28.62080869,31.96969697,54.00627901,-47.47474747,240,0.839160839,29002.71807,28561.30123,28499.8,0,-2.84E-14,5864936.33,-308993500,29681.43903,29275.5622,28869.68538,28840
2013-10-24,28620,28980,28580,8915650,60.54406606,492.9977594,-20.01325381,28.44503951,28.68686869,39.46946947,-53.33333333,380,1.328671329,28997.66961,28601.1773,28504.57811,35.8600661,11.95335537,7439547.23,-300077850,29640.4505,29215.16942,28789.88833,28980
2013-10-25,29000,29040,28660,6735300,60.54406606,464.0720888,-16.99978508,28.40001292,27.07070707,29.24242424,-55.55555556,120,0.415800416,28993.74303,28637.25565,28509.30868,100,45.2866887,8873681.127,-300077850,29444.68005,29150.30613,28855.93222,28980
2013-10-28,29300,29700,29160,11307700,68.21485609,488.7705282,141.7547983,29.43978913,53.76984127,36.50913901,-9.722222222,880,3.059805285,29137.35569,28732.75511,28520.55934,100,78.62002203,11452044.18,-288770150,29727.45994,29170.55421,28613.64847,29640
2013-10-29,29800,29800,29560,10334900,69.75021795,515.3146555,165.2516568,30.54014224,75.99206349,52.27753728,0,660,2.264927934,29284.60998,28834.39748,28533.29009,100,100,14754111.42,-278435250,30058.58582,29274.50419,28490.42256,29800
2013-10-30,29700,30000,29680,10588400,71.59711911,546.1932208,164.7124245,31.82403955,98.21428571,75.99206349,0,1000,3.448275862,29443.58554,28945.40725,28547.88422,100,100,18132710.61,-267846850,30287.98075,29440.2072,28592.43364,30000
2013-10-31,29960,30040,29300,12647050,58.20286597,508.3209489,71.58210842,31.7450114,82.12560386,85.44398436,-50.68493151,40,0.1367054,29411.67764,28979.17799,28555.36796,0,66.66666667,13842375.23,-280493900,30265.89395,29539.08173,28812.26951,29300
2013-11-01,29800,30000,29360,11357700,65.21163376,528.6965655,107.6923077,31.67162812,80.61045235,86.98344731,-2.739726027,560,1.902173913,29542.41594,29076.39913,28569.7424,52.32667861,50.77555954,14442653.91,-269136200,30167.72857,29644.59953,29121.47048,30000
2013-11-04,29840,30040,29780,10887800,64.87689818,537.0398941,119.2838654,31.67483941,77.90774965,80.21460195,-4.109589041,700,2.390710383,29639.65685,29162.45636,28583.77482,95.22404515,49.18357459,15240646.24,-280024000,30291.37607,29753.88561,29216.39514,29980
2013-11-05,30040,30040,29440,8009300,60.2166792,515.1203948,66.06243706,30.58085588,80.46683047,79.66167749,-23.28767123,600,2.06185567,29653.06644,29213.65099,28594.88154,0,49.18357459,13841795.86,-288033300,30365.60854,29819.84669,29274.08483,29700
